14567272; 16143300; 16315668; 16775100; 16299600; 15775000; 15892100; 16084400; 15685800; 16038600; 15768200; 15876000; 15693300; 15708100; 15379800; 15652800; 15361300; 15683700; 15490000; 15822300; 
15796800; 15699400; 16060000; 16083100; 15834700; 15563600; 15914600; 16017500; 16020500; 16275700; 16033500; 15677400; 15928200; 15922700; 15667000; 15641200; 15503700; 15608900; 15351400; 15538000; 
15911600; 15810800; 15962600; 16294800; 15647400; 15421000; 15714900; 15706800; 16020500; 15797200; 15878800; 15349000; 15790000; 15723000; 15506300; 15551900; 15598700; 15354600; 15365100; 15449844; 
15164000; 15148100; 15461499; 15724500; 15220600; 14939200; 15935600; 15367200; 15984100; 15421800; 15485200; 15084487; 15324600; 15632300; 15154388; 15184500; 15084300; 15403300; 15360300; 15424900; 
15189000; 15720500; 15720900; 15994083; 15016162; 15147700; 15619000; 15475700; 15882200; 15253400; 15176700; 15374600; 15224200; 15904500; 15370000; 15169900; 14924793; 15326100; 15209900; 15355600; 
15546000; 15818600; 15390300; 16005600; 16008900; 15228400; 15313600; 15186500; 15781600; 15415600; 14882200; 15250339; 15178500; 15533300; 15071441; 15075800; 15449800; 15029400; 15271500; 15327900; 
15431100; 15723100; 15394372; 15824200; 15517951; 15143600; 15553300; 15204100; 15843700; 15245800; 15288700; 15168000; 15337700; 15445200; 15227900; 14890033; 15448100; 15249700; 15448600; 15077582; 
15176100; 15448100; 15476000; 15546400; 15666800; 15164400; 15430300; 15622300; 15548700; 15217900; 15243400; 15393700; 15090400; 15879500; 15025500; 15172300; 15209500; 15149100; 15476800; 15137700; 
15550900; 15332300; 15563700; 15813300; 15376182; 15408200; 15525000; 16021600; 15253700; 15220400; 15269300; 15542800; 15135300; 15198969; 15320200; 15026700; 15341900; 15295800; 15562200; 15550200; 
15462400; 15150400; 15622100; 15936600; 15586000; 15371900; 15525500; 15127500; 15383100; 15244600; 15185900; 15564800; 15552100; 15583400; 15198000; 15025000; 15583472; 15088000; 15283700; 15158980; 
15478600; 15376900; 15718600; 16118300; 15817600; 15661000; 15593600; 15781200; 15829100; 15586100; 15359000; 15573500; 16140900; 16423600; 16312300; 15259800; 15591600; 15799700; 15784200; 15744700; 
15570600; 16090100; 15966700; 15814700; 15401600; 15444800; 15209501; 15388800; 15359200; 15127500; 15287800; 15001400; 15046300; 15203100; 15142600; 15102300; 15198900; 15296400; 15227700; 15245100; 
15225500; 15375900; 15548600; 15201500; 14902100; 15162100; 15135800; 15231000; 15103000; 14904300; 15105200; 15054000; 15132500; 15168500; 15289700; 15167200; 15162800; 15136700; 15141600; 14933100; 
14913747; 15372000; 15076600; 15238500; 15158500; 15120900; 15208800; 15058500; 15041300; 14831300; 15344300; 15046600; 15430300; 14745800; 15136300; 15195200; 15260600; 15377600; 15115200; 15142800; 
15078700; 15234700; 15330400; 15330100; 15515700; 14920400; 15207400; 15483100; 15060200; 15184000; 15421400; 15228800; 15988000; 14994800; 15095800; 15254100; 15334800; 15362200; 15169200; 15041500; 
15140800; 15146800; 15255800; 15320800; 15394800; 15113900; 15138700; 15384600; 15225000; 15348300; 15562800; 15369600; 15057400; 14974100; 15109500; 15392600; 15162400; 15175800; 15134400; 14909400; 
15094200; 15055100; 15194500; 15478600; 15376100; 15063200; 15235600; 15339400; 15245500; 15154500; 15218100; 15027472; 15383000; 15366800; 15100500; 15258700; 15209200; 15245100; 15205800; 14993600; 
15177000; 15004737; 15181900; 15245200; 14870700; 15138700; 15319500; 15203200; 15186600; 15023800; 15145200; 15122400; 15065100; 15341600; 15266200; 15225139; 14951400; 15071300; 15257300; 15097900; 
15150500; 15225900; 15298600; 15016200; 15059300; 15258000; 15304900; 15040800; 15316800; 15297189; 15369800; 15066900; 15012200; 15203900; 15500100; 15184400; 15129600; 15610900; 15291200; 15384700; 
